image,class,confidence,iou,gt_mask_coverage_%,pred_mask_coverage_%,status
10000030_0000.jpg,ygo_card,0.9389,0.9854,43.38,43.98,ok
10000030_0001.jpg,ygo_card,0.9592,0.9796,39.3,40.08,ok
10000030_0002.jpg,ygo_card,0.9635,0.9887,55.48,55.98,ok
100348005_0000.jpg,ygo_card,0.9595,0.9858,35.02,34.88,ok
100348005_0001.jpg,ygo_card,0.9638,0.9868,33.85,34.23,ok
100348005_0002.jpg,ygo_card,0.9419,0.9836,29.8,30.12,ok
100446005_0000.jpg,ygo_card,0.9541,0.989,35.35,35.58,ok
100446005_0001.jpg,ygo_card,0.9618,0.9769,38.27,39.15,ok
100446005_0002.jpg,ygo_card,0.9542,0.99,39.9,40.23,ok
100446011_0000.jpg,ygo_card,0.9587,0.9867,26.74,27.03,ok
100446011_0001.jpg,ygo_card,0.9658,0.9803,30.18,30.74,ok
100446011_0002.jpg,ygo_card,0.9609,0.9895,33.82,34.01,ok
100446037_0000.jpg,ygo_card,0.9562,0.989,44.24,44.71,ok
100446037_0001.jpg,ygo_card,0.9594,0.9855,43.49,44.02,ok
100446037_0002.jpg,ygo_card,0.9547,0.9881,39.7,40.16,ok
10158145_0000.jpg,ygo_card,0.9593,0.9897,42.1,42.47,ok
10158145_0001.jpg,ygo_card,0.9592,0.9846,33.32,33.75,ok
10158145_0002.jpg,ygo_card,0.9654,0.9834,27.28,27.73,ok
10182251_0000.jpg,ygo_card,0.9626,0.9802,39.17,39.89,ok
10182251_0001.jpg,ygo_card,0.9704,0.9857,47.02,47.6,ok
10182251_0002.jpg,ygo_card,0.9593,0.9852,31.3,31.69,ok
10194329_0000.jpg,ygo_card,0.9669,0.9916,53.71,54.07,ok
10194329_0001.jpg,ygo_card,0.9578,0.9913,37.3,37.54,ok
10194329_0002.jpg,ygo_card,0.9618,0.9878,53.98,54.62,ok
10209545_0000.jpg,ygo_card,0.9658,0.9866,43.81,44.37,ok
10209545_0001.jpg,ygo_card,0.9576,0.9903,49.24,49.68,ok
10209545_0002.jpg,ygo_card,0.9646,0.9832,25.14,25.45,ok
10449150_0000.jpg,ygo_card,0.9608,0.9876,36.38,36.77,ok
10449150_0001.jpg,ygo_card,0.9605,0.9885,41.88,42.27,ok
10449150_0002.jpg,ygo_card,0.9649,0.9813,30.38,30.89,ok
10552026_0000.jpg,ygo_card,0.9623,0.9874,48.64,49.24,ok
10552026_0001.jpg,ygo_card,0.966,0.99,51.51,51.92,ok
10552026_0002.jpg,ygo_card,0.9579,0.99,52.2,52.62,ok
10691144_0000.jpg,ygo_card,0.9633,0.9897,51.6,52.05,ok
10691144_0001.jpg,ygo_card,0.9619,0.991,41.36,41.57,ok
10691144_0002.jpg,ygo_card,0.9623,0.9866,35.48,35.86,ok
10852583_0000.jpg,ygo_card,0.9585,0.9863,31.79,32.14,ok
10852583_0001.jpg,ygo_card,0.9646,0.9876,46.27,46.69,ok
10852583_0002.jpg,ygo_card,0.9575,0.9834,33.11,33.63,ok
10860121_0000.jpg,ygo_card,0.9682,0.9855,26.77,27.1,ok
10860121_0001.jpg,ygo_card,0.9605,0.9849,23.13,23.39,ok
10860121_0002.jpg,ygo_card,0.9594,0.9881,38.22,38.63,ok
10979723_0000.jpg,ygo_card,0.9537,0.9774,25.15,25.66,ok
10979723_0001.jpg,ygo_card,0.96,0.9858,25.58,25.88,ok
10979723_0002.jpg,ygo_card,0.9616,0.9906,47.34,47.73,ok
11050415_0000.jpg,ygo_card,0.963,0.9854,26.55,26.84,ok
11050415_0001.jpg,ygo_card,0.9613,0.9863,45.96,46.59,ok
11050415_0002.jpg,ygo_card,0.9581,0.9887,27.96,28.18,ok
11287364_0000.jpg,ygo_card,0.9529,0.9873,47.65,48.22,ok
11287364_0001.jpg,ygo_card,0.9536,0.9847,27.12,27.5,ok
11287364_0002.jpg,ygo_card,0.9634,0.9896,53.43,53.75,ok
11335209_0000.jpg,ygo_card,0.9607,0.9877,33.56,33.91,ok
11335209_0001.jpg,ygo_card,0.9554,0.9884,52.31,52.23,ok
11335209_0002.jpg,ygo_card,0.9513,0.9866,35.59,36.01,ok
1142880_0000.jpg,ygo_card,0.9662,0.9916,41.37,41.59,ok
1142880_0001.jpg,ygo_card,0.9648,0.99,34.07,34.31,ok
1142880_0002.jpg,ygo_card,0.9651,0.9882,30.37,30.61,ok
11674673_0000.jpg,ygo_card,0.9627,0.9825,27.71,28.18,ok
11674673_0001.jpg,ygo_card,0.9418,0.9927,54.37,54.64,ok
11674673_0002.jpg,ygo_card,0.9648,0.986,34.4,34.83,ok
11677278_0000.jpg,ygo_card,0.9606,0.9852,30.87,31.28,ok
11677278_0001.jpg,ygo_card,0.9622,0.9833,39.95,40.55,ok
11677278_0002.jpg,ygo_card,0.9612,0.9908,51.97,52.35,ok
11741041_0000.jpg,ygo_card,0.9559,0.9819,45.86,46.62,ok
11741041_0001.jpg,ygo_card,0.9555,0.9916,49.56,49.81,ok
11741041_0002.jpg,ygo_card,0.9568,0.9812,27.79,28.29,ok
11759079_0000.jpg,ygo_card,0.9663,0.99,46.07,46.49,ok
11759079_0001.jpg,ygo_card,0.9605,0.9914,45.1,45.33,ok
11759079_0002.jpg,ygo_card,0.948,0.9895,42.92,43.25,ok
11834972_0000.jpg,ygo_card,0.9539,0.9873,46.8,47.3,ok
11834972_0001.jpg,ygo_card,0.965,0.9915,47.85,48.14,ok
11834972_0002.jpg,ygo_card,0.9637,0.9872,38.6,39.0,ok
12067160_0000.jpg,ygo_card,0.9596,0.9844,32.81,33.25,ok
12067160_0001.jpg,ygo_card,0.9583,0.9854,35.61,36.08,ok
12067160_0002.jpg,ygo_card,0.9589,0.9843,35.66,36.2,ok
12076263_0000.jpg,ygo_card,0.9662,0.9851,37.59,38.12,ok
12076263_0001.jpg,ygo_card,0.9564,0.9857,40.59,41.11,ok
12076263_0002.jpg,ygo_card,0.959,0.9848,47.43,48.11,ok
1224927_0000.jpg,ygo_card,0.962,0.9918,49.88,50.18,ok
1224927_0001.jpg,ygo_card,0.9583,0.9918,56.06,56.38,ok
